"Date","FNSKU","ASIN","MSKU","Title","Event Type","Reference ID","Quantity","Fulfillment Center","Disposition","Reason","Country","Reconciled Quantity","Unreconciled Quantity","Date and Time"
"02/01/2025","X002816EM5","B0DTK31PPH","CSTE_0545_ST_Animal_Breathing_Dog_B_2","Fusked Flufies Breathing Koala Soft Toys for Baby Girl and Boy - 25 cm Sensory Toys and Musical Toys for Kids - Sleeping Teddy Bear with Breathing - Baby Gifts Cuddle Pillow (Breathing Dog)","Shipments","","-1","TLCQ","SELLABLE",,"IN","","","2025-02-01T00:00:00+0530"
"02/01/2025","X0027Z4S1L","B0DK52Z4FT","Breathing_Lilo_Stich_Blue","Fusked Flufies Breathing Teddy Soft Toys for Baby Girl and Boy - 25 cm Sensory Toys and Musical Toys for Kids - Sleeping Teddy Bear with Breathing - Baby Gifts Cuddle Pillow (Breathing Stitch Blue)","Shipments","","-1","TLCQ","SELLABLE",,"IN","","","2025-02-01T00:00:00+0530"
"02/01/2025","X0027Z05S1","B0DT6QDVKN","Storage_Box_white_2","Caaju Foldable Steel Storage Cubes Organizer with Handles Frame Collapsible Clothes Organizer Storage Box for Wardrobe,Toys,Books and Blankets Storage Box with Handles (Off-White, Pack of 2)","Shipments","","-1","TLCQ","SELLABLE",,"IN","","","2025-02-01T00:00:00+0530"
"02/01/2025","X0027Z05QX","B0DT6QDDPX","Storage_Box_white_4","Caaju Foldable Steel Storage Cubes Organizer with Handles Frame Collapsible Clothes Organizer Storage Box for Wardrobe,Toys,Books and Blankets Storage Box with Handles (Off-White, Pack of 4)","Shipments","","-1","TLCQ","SELLABLE",,"IN","","","2025-02-01T00:00:00+0530"
"02/01/2025","X0027SINDR","B0DSPWLCVP","CSTE_O0446_OT_Glue_Sand_Rubber_Pig","FUSKED Flufies Sand Filled Rubber Squishy Toy for Kids - Soft Ball for Kids and Stress Relief Toys Adults - Squeeze Ball Toys for Kids - Cat Kawaii Stuff Miniature Toys","Shipments","","-1","TLCQ","SELLABLE",,"IN","","","2025-02-01T00:00:00+0530"
"02/01/2025","X0027QARD3","B0DSJMBF52","CSTE_0541_ST_Animal_Breathing_Fox","Fusked Flufies Breathing Fox Soft Toys for Baby Girl and Boy - 25 cmSensory Toys and Musical Toys for Kids - Sleeping Teddy Bear with Breathing - Baby Gifts Newborn - Baby Toy Cuddle Pillow","Shipments","","-1","TLCQ","SELLABLE",,"IN","","","2025-02-01T00:00:00+0530"
"02/01/2025","X0027KYKHN","B0DS18DP6Q","CSTE_O0442_OT_Squeeze_White","FUSKED Flufies Squishy Toy for Kids - Soft Ball for Kids and Stress Relief Toys Adults - Squeeze Ball Toys for Kids - Cat Kawaii Stuff Miniature Toys for Birthday","Shipments","","-1","TLCQ","SELLABLE",,"IN","","","2025-02-01T00:00:00+0530"
"02/01/2025","X0027KWARF","B0DS19KB8K","CSTE_O0443_OT_Squeeze_Yellow","FUSKED Flufies Squishy Toy for Kids - Soft Ball for Kids and Stress Relief Toys Adults - Squeeze Ball Toys for Kids - Cat Kawaii Stuff Miniature Toys for Birthday","Shipments","","-1","TLCQ","SELLABLE",,"IN","","","2025-02-01T00:00:00+0530"
"02/01/2025","X0027KWARF","B0DS19KB8K","CSTE_O0443_OT_Squeeze_Yellow","FUSKED Flufies Squishy Toy for Kids - Soft Ball for Kids and Stress Relief Toys Adults - Squeeze Ball Toys for Kids - Cat Kawaii Stuff Miniature Toys for Birthday","Shipments","","-1","TLCQ","SELLABLE",,"IN","","","2025-02-01T00:00:00+0530"
"02/01/2025","X0027KW4W1","B0DS18WRKZ","CSTE_O0444_OT_Squeeze_Purple","FUSKED Flufies Squishy Toy for Kids - Soft Ball for Kids and Stress Relief Toys Adults - Squeeze Ball Toys for Kids - Cat Kawaii Stuff Miniature Toys for Birthday","Shipments","","-1","TLCQ","SELLABLE",,"IN","","","2025-02-01T00:00:00+0530"
"02/01/2025","X0027DGAZZ","B0DRPJ1RSV","CSTE_0226_SG_Square/Big_Black","Xexy Stylish Full Rim Sunglasses for Women Fashion - Aesthetic Unisex Sunglasses with Non Polarized Glasses for Men and Women - Trendy Shades for Women with UV Protection","Shipments","","-1","TLCQ","SELLABLE",,"IN","","","2025-02-01T00:00:00+0530"
"02/01/2025","X00279NLG5","B0DR6167SQ","Breathing_Otter_Blue","Fusked Flufies Breathing Otter Soft Toys for Baby Girl and Boy - 25cm Sensory Toys and Musical Toys for Kids - Sleeping Teddy Bear with Breathing - Baby Gifts Newborn - Baby Toy Cuddle Pillow","Shipments","","-1","TLCQ","SELLABLE",,"IN","","","2025-02-01T00:00:00+0530"
"02/01/2025","X00279NLG5","B0DR6167SQ","Breathing_Otter_Blue","Fusked Flufies Breathing Otter Soft Toys for Baby Girl and Boy - 25cm Sensory Toys and Musical Toys for Kids - Sleeping Teddy Bear with Breathing - Baby Gifts Newborn - Baby Toy Cuddle Pillow","Shipments","","-1","TLCQ","SELLABLE",,"IN","","","2025-02-01T00:00:00+0530"
"02/01/2025","X002739P9X","B0DQH6GLD2","CSTE_0536_ST_Animal_Breathing_lamb_White","Fusked Flufies Breathing Teddy Soft Toys for Baby Girl and Boy - 25 cm Sensory Toys and Musical Toys for Kids - Sleeping Teddy Bear with Breathing - Baby Gifts Cuddle Pillow (White)","Shipments","","-1","TLCQ","SELLABLE",,"IN","","","2025-02-01T00:00:00+0530"
"02/01/2025","X0026FX4Q7","B0DNKC3PQ4","CSTE_0502_ST_Minecraft_Pickaxe_Foam","Fusked Flufies Minecraft Sword and Pickaxe for Room Decor and Halloween Decor - Foam Minecraft Pickaxe for Kids and Collectors - Diamond Netherite Toy for Birthday and Role Play (Pickaxe and Sword)","Shipments","","-1","TLCQ","SELLABLE",,"IN","","","2025-02-01T00:00:00+0530"
"02/01/2025","X0026FX4Q7","B0DNKC3PQ4","CSTE_0502_ST_Minecraft_Pickaxe_Foam","Fusked Flufies Minecraft Sword and Pickaxe for Room Decor and Halloween Decor - Foam Minecraft Pickaxe for Kids and Collectors - Diamond Netherite Toy for Birthday and Role Play (Pickaxe and Sword)","Shipments","","-1","TLCQ","SELLABLE",,"IN","","","2025-02-01T00:00:00+0530"
